Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
1,http-192-168-178-178-2020-lacunawebpages-aws-amazon-com-aws-amazon-com-1,10.0,9.1,8.9,11.0,9.0,10.0,9.2,10.0,9.3,8.3,13.0,8.5,8.7,8.3,9.4,9.2,7.7,11.0,9.5,9.4,9.474999999999998
1,http-192-168-178-178-2020-subjects-lvl1-backbone_require,10.0,9.7,9.1,9.4,11.0,9.8,10.0,12.0,9.8,9.8,10.0,10.0,10.0,10.0,9.8,9.9,9.8,9.8,9.6,9.8,9.965000000000002
1,http-192-168-178-178-2020-lacunawebpages-www-paypal-com-www-paypal-com-nl-1-home-html,56.0,54.0,47.0,46.0,47.0,58.0,31.0,57.0,35.0,58.0,43.0,57.0,56.0,43.0,10.0,43.0,56.0,57.0,44.0,57.0,47.75
1,http-192-168-178-178-2020-subjects-lvl1-dojo,15.0,10.0,9.9,23.0,10.0,9.4,10.0,11.0,10.0,10.0,10.0,7.4,10.0,10.0,10.0,9.3,9.2,10.0,10.0,9.4,10.68
1,http-192-168-178-178-2020-subjects-lvl1-reagent,11.0,10.0,8.7,10.0,9.4,9.3,12.0,9.7,8.8,11.0,9.4,10.0,8.3,10.0,9.3,8.0,11.0,22.0,8.0,9.0,10.245000000000001
1,http-192-168-178-178-2020-subjects-lvl1-backbone,9.1,10.0,9.7,9.5,9.9,9.4,9.1,9.6,10.0,9.6,9.2,10.0,10.0,9.8,10.0,9.3,10.0,9.7,9.6,8.6,9.604999999999999
1,http-192-168-178-178-2020-lacunawebpages-apache-org-apache-org-1,7.0,7.0,8.8,10.0,10.0,9.6,9.8,9.2,7.8,7.9,9.6,11.0,10.0,7.5,10.0,7.4,8.6,9.2,9.8,10.0,9.01
1,http-192-168-178-178-2020-subjects-lvl1-enyo_backbone,10.0,10.0,9.3,8.2,8.0,10.0,10.0,9.7,10.0,10.0,10.0,10.0,10.0,9.3,9.8,10.0,10.0,9.5,10.0,7.7,9.575
1,http-192-168-178-178-2020-subjects-lvl1-gwt,7.4,7.3,6.7,10.0,21.0,7.8,17.0,7.6,8.0,7.4,8.4,6.8,6.9,9.7,7.5,8.7,7.5,7.0,7.8,7.3,8.89
1,http-192-168-178-178-2020-lacunawebpages-www-theguardian-com-www-theguardian-com-1-international-html,11.0,16.0,8.6,9.6,10.0,10.0,9.0,7.5,10.0,10.0,10.0,11.0,9.4,9.9,11.0,8.2,8.6,10.0,10.0,10.0,9.989999999999998
1,http-192-168-178-178-2020-lacunawebpages-www-booking-com-www-booking-com-1,9.0,11.0,10.0,8.7,8.3,9.1,8.2,10.0,8.7,9.1,8.6,9.0,8.8,8.6,11.0,9.4,8.9,9.3,10.0,9.5,9.260000000000002
1,http-192-168-178-178-2020-lacunawebpages-www-wikipedia-org-www-wikipedia-org-1,10.0,11.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,12.0,10.0,10.0,10.0,10.0,9.9,10.0,10.0,10.245000000000001
1,http-192-168-178-178-2020-subjects-lvl1-mithril,11.0,10.0,9.9,9.2,10.0,9.8,10.0,9.9,9.5,8.1,10.0,11.0,10.0,10.0,10.0,19.0,10.0,9.9,9.7,9.6,10.329999999999998
1,http-192-168-178-178-2020-subjects-lvl1-vanillajs,16.0,9.4,9.8,10.0,11.0,16.0,10.0,10.0,10.0,11.0,9.7,10.0,9.9,11.0,10.0,10.0,10.0,10.0,10.0,8.9,10.635000000000002
1,http-192-168-178-178-2020-subjects-lvl1-jsblocks,9.1,9.5,10.0,10.0,10.0,10.0,10.0,10.0,11.0,10.0,10.0,10.0,10.0,10.0,8.3,10.0,14.0,9.6,9.4,11.0,10.094999999999999
1,http-192-168-178-178-2020-subjects-lvl1-vue,10.0,10.0,8.9,9.7,9.9,9.9,9.9,7.7,10.0,9.8,11.0,10.0,9.5,10.0,9.8,9.8,8.8,9.2,10.0,10.0,9.694999999999999
1,http-192-168-178-178-2020-lacunawebpages-www-mozilla-org-www-mozilla-org-en-us-1,8.4,6.5,10.0,9.2,7.7,9.2,7.7,7.2,9.6,9.0,8.5,8.4,8.1,8.8,8.9,8.8,7.5,8.4,10.0,8.6,8.525
1,http-192-168-178-178-2020-lacunawebpages-www-buzzfeed-com-www-buzzfeed-com-1,11.0,9.5,10.0,5.2,9.1,11.0,11.0,8.5,17.0,9.0,10.0,8.9,10.0,10.0,10.0,10.0,21.0,9.7,8.7,10.0,10.479999999999999
1,http-192-168-178-178-2020-lacunawebpages-nl-godaddy-com-nl-godaddy-com-1,10.0,9.4,10.0,10.0,10.0,10.0,11.0,10.0,12.0,11.0,12.0,9.9,8.9,11.0,11.0,10.0,10.0,10.0,11.0,10.0,10.36
1,http-192-168-178-178-2020-lacunawebpages-www-amazon-in-www-amazon-in-1,11.0,10.0,9.8,9.0,8.9,10.0,11.0,9.8,10.0,8.9,10.0,9.8,10.0,10.0,12.0,10.0,9.5,9.5,10.0,12.0,10.059999999999999
1,http-192-168-178-178-2020-lacunawebpages-www-amazon-com-www-amazon-com-1,8.5,10.0,17.0,10.0,9.4,8.2,9.3,8.9,8.3,8.6,10.0,8.8,19.0,11.0,9.9,10.0,8.6,7.8,9.0,8.6,10.044999999999998
1,http-192-168-178-178-2020-lacunawebpages-m-youtube-com-m-youtube-com-1,9.0,8.5,9.2,8.5,8.6,9.0,7.9,8.4,10.0,7.3,8.1,8.7,9.5,9.6,8.6,18.0,8.5,8.1,7.6,7.4,9.024999999999999
1,http-192-168-178-178-2020-lacunawebpages-stackoverflow-com-stackoverflow-com-1,9.1,7.8,8.6,8.2,9.5,9.6,8.6,9.5,8.0,8.0,7.9,8.9,8.3,9.5,9.8,9.5,8.1,8.6,11.0,8.3,8.84
1,http-192-168-178-178-2020-subjects-lvl1-canjs,10.0,9.6,10.0,10.0,9.0,10.0,10.0,9.2,9.7,10.0,10.0,10.0,9.6,10.0,10.0,10.0,9.5,9.8,9.8,10.0,9.810000000000002
1,http-192-168-178-178-2020-subjects-lvl1-exoskeleton,10.0,9.7,10.0,9.6,9.7,15.0,9.9,9.7,10.0,9.8,9.3,10.0,9.7,9.8,10.0,10.0,9.5,10.0,9.1,9.8,10.03
1,http-192-168-178-178-2020-lacunawebpages-www-office-com-www-office-com-1,13.0,12.0,8.3,12.0,12.0,7.9,13.0,9.8,13.0,12.0,11.0,8.1,11.0,8.1,12.0,8.4,13.0,9.5,8.7,14.0,10.84
1,http-192-168-178-178-2020-subjects-lvl1-dijon,11.0,11.0,10.0,10.0,11.0,10.0,11.0,10.0,12.0,11.0,11.0,9.9,10.0,9.6,10.0,8.6,11.0,10.0,10.0,10.0,10.355
1,http-192-168-178-178-2020-subjects-lvl1-canjs_require,9.2,9.9,10.0,9.8,8.4,7.2,8.7,10.0,9.0,10.0,10.0,9.5,9.8,7.8,10.0,8.7,9.8,11.0,9.7,9.9,9.42
1,http-192-168-178-178-2020-subjects-lvl1-knockback,10.0,10.0,10.0,10.0,9.9,8.7,9.8,23.0,10.0,10.0,10.0,11.0,10.0,10.0,7.1,10.0,11.0,8.0,11.0,11.0,10.525
