Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
2,http-localhost-2020-lacunawebpages-aws-amazon-com-aws-amazon-com-2,4244,2174,2750,2661,2381,2019,2192,1864,2405,1841,2443,1888,2343,2130,2273,2437,2157,1871,2220,3014,2365.35
2,http-localhost-2020-lacunawebpages-www-amazon-in-www-amazon-in-2,1630,1653,1643,1587,1702,1504,1855,1566,1755,1689,2068,1775,1694,2127,1694,1682,1940,1679,1624,1732,1729.95
2,http-localhost-2020-lacunawebpages-stackoverflow-com-stackoverflow-com-2,1264,1289,1369,2475,1769,914,1310,1329,1256,1214,2433,1634,1302,1675,1904,1252,1488,2292,1978,1327,1573.7
2,http-localhost-2020-lacunawebpages-www-bbc-com-www-bbc-com-2,3137,2899,2860,2918,2875,3024,3004,2856,2677,3064,2995,2934,3087,2854,2727,2868,3307,3038,3082,2864,2953.5
2,http-localhost-2020-lacunawebpages-apache-org-apache-org-2,1614,1667,1267,669,1131,1070,1135,2001,1835,1111,1076,707,1163,1150,1264,983,1112,1208,1137,1069,1218.45
2,http-localhost-2020-subjects-lvl2-angularjs_require,893,686,710,744,977,612,686,664,781,612,871,727,639,703,876,722,666,697,958,609,741.65
2,http-localhost-2020-lacunawebpages-www-mozilla-org-www-mozilla-org-en-us-2,1063,1083,1036,1254,1101,1092,1204,1097,1134,1113,1102,1070,1009,1420,1218,820,1158,1484,1045,1174,1133.85
2,http-localhost-2020-lacunawebpages-www-buzzfeed-com-www-buzzfeed-com-2,1492,1570,1453,1425,1473,1468,1411,1521,1541,1334,1394,1541,1358,1709,1369,1451,1337,1388,1431,1574,1462.0
2,http-localhost-2020-lacunawebpages-nl-godaddy-com-nl-godaddy-com-2,2365,1337,2358,1464,1359,2528,1337,2071,3716,1318,1455,1900,1371,2967,2322,1387,1821,1501,1411,1515,1875.15
2,http-localhost-2020-lacunawebpages-m-youtube-com-m-youtube-com-2,1042,886,918,896,935,893,1063,894,781,946,884,931,916,1016,900,968,1137,996,988,700,934.5
2,http-localhost-2020-lacunawebpages-www-office-com-www-office-com-2,1119,1174,897,1323,1484,1115,1271,1325,1159,777,1116,1075,1796,1480,1092,1849,1107,1231,837,1357,1229.2
2,http-localhost-2020-lacunawebpages-www-paypal-com-www-paypal-com-nl-2-home-html,1144,978,969,752,927,900,1078,931,916,1394,1201,926,901,1577,934,902,1531,937,929,923,1037.5
2,http-localhost-2020-subjects-lvl2-backbone,624,627,882,893,851,1108,1016,1074,844,861,863,1050,927,960,843,973,868,901,953,942,903.0
2,http-localhost-2020-lacunawebpages-stackexchange-com-stackexchange-com-2,1346,1392,1477,1305,1366,1282,1273,1237,1350,1614,1275,1283,1227,1311,2170,1696,1621,1581,1350,1253,1420.45
2,http-localhost-2020-lacunawebpages-www-booking-com-www-booking-com-2,1693,1514,1462,1667,1494,1555,1583,1594,1797,1534,1614,1547,1567,1609,1655,1564,1590,1518,1619,1531,1585.35
2,http-localhost-2020-lacunawebpages-www-wikipedia-org-www-wikipedia-org-2,1226,1044,995,1342,521,1058,1184,1099,1131,1175,1244,1105,987,1028,1003,1206,1327,1129,1080,524,1070.4
2,http-localhost-2020-lacunawebpages-www-amazon-com-www-amazon-com-2,1406,1416,1432,1454,1503,1527,1417,1358,1758,1366,1378,1450,1441,1583,1350,1445,1443,1733,1412,1346,1460.9
2,http-localhost-2020-lacunawebpages-www-theguardian-com-www-theguardian-com-2-international-html,2620,2062,2353,2656,1651,1635,1776,2339,2150,1773,1659,1612,2656,2655,1691,1629,2312,2213,1599,1572,2030.65
