Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
0,http-192.168.178.178-2020-subjects-lvl0-backbone_require,1226.1,1426.2,1076.7,1146.6,1040.2,1188.5,892.8,1018.5,1148.4,1225.7,1134.3,946.3,2373.4,1054.3,1136,3687.8,1206.1,1103.8,1175.1,1072.1,1313.9449999999997
0,http-192.168.178.178-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-0,1526.0,1419.0,1384.8,2309.2,1752.6,1274.2,2978.1,2524.5,2444.5,1752.6,2190.4,1435.6,1465.2,2160.5,1342,1470.8,1504.1,1570.0,2170.4,2170.4,1842.2450000000001
0,http-192.168.178.178-2020-subjects-lvl0-mithril,1555.1,660.3,1251.0,1115.6,1032.2,1018.4,1177.3,951.8,1117.9,930.2,906.1,1131.5,1599.6,1096.8,709.7,1127.0,1226.9,1050.1,1467.4,1070.4,1109.765
0,http-192.168.178.178-2020-subjects-lvl0-vue,1155.5,913.9,973.2,1005.2,873.0,1040.8,1113.2,1050.8,1053.1,995.7,927.5,986.9,907.5,1115.5,931,924.9,1136.9,929.9,1045.3,1028.3,1005.4050000000001
0,http-192.168.178.178-2020-subjects-lvl0-canjs,2045.5,962.5,1242.2,1025.8,1187.9,1037.8,2329.9,927.5,1004.5,1018.8,1207.8,1169.3,1334.4,822.4,1120.4,1258.8,1049.0,1036.2,944.3,1071.4,1189.8200000000002
0,http-192.168.178.178-2020-subjects-lvl0-vanillajs,1217.1,1260.0,1473.4,914.8,1242.2,1582.7,1348.6,1421.0,1118.1,1655.0,1220.9,1317.1,1290.6,1266.7,1171,621.3,1404.8,1320.1,1133.9,1386.4,1268.285
0,http-192.168.178.178-2020-subjects-lvl0-knockback,1362.8,1238.9,993.0,1307.6,1110.1,1002.5,1300.6,1308.2,1155.1,1170.1,1191.7,1354.2,1287.3,1396.4,1862.6,1223.3,1305.5,1587.5,1460.6,1323.1,1297.0549999999998
0,http-192.168.178.178-2020-lacunaWebPages-www.booking.com-www.booking.com-0,2128.4,2121.8,1615.8,1243.2,1213.2,1292.5,1513.3,1638.9,1505.4,1425.2,1163.2,1421.7,1325.1,2332.8,1638.3,1433.8,2977.2,1492.0,2631.8,1369.5,1674.155
0,http-192.168.178.178-2020-subjects-lvl0-gwt,1057.8,1026.0,997.0,944.1,1073.1,780.3,864.3,705.8,1264.1,1052.9,935.5,1018.3,1219.6,909.0,851.5,944.7,1958.8,876.6,1081.7,758.5,1015.9799999999999
0,http-192.168.178.178-2020-subjects-lvl0-jquery,1259.1,1134.2,1000.8,1266.6,1133.0,1048.1,1226.8,980.5,1181.2,988.5,971.0,1287.5,1077.7,1098.6,1016.6,2244.6,842.8,1242.9,1193.3,1093.6,1164.37
0,http-192.168.178.178-2020-subjects-lvl0-jsblocks,1178.7,1191.1,1847.1,2426.6,1352.4,1647.8,1078.4,1407.0,1169.8,1121.0,1248.4,1175.9,1340.3,1604.3,1553.4,1340.0,1132.4,1200.3,1436.0,1129.1,1378.9999999999998
0,http-192.168.178.178-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-0,1756.1,1526.3,1553.5,1243.7,1298.0,1333.7,1022.1,1577.7,1929.3,1486.8,1433.8,1407.7,1328.5,1423.0,1350.6,1524.3,2366.1,1903.0,1106.8,1660.4,1511.57
