Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
1,http-192.168.178.178-2020-subjects-lvl1-backbone_require,1114.1,980,1021.9,1306.3,1160.3,1170.6,1304.8,1276.3,1364.5,991.1,1315.5,846,1186.8,997.7,1080.6,966.5,991.5,1047.7,1008.6,1250.6,1119.07
1,http-192.168.178.178-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-1,1500.6,1441.3,1844.9,1581.3,2037.4,1528.1,1325.1,1534.3,3412.8,3412.8,1823.4,1315.1,1963.4,1402.8,1918.1,986.9,1456,1770.3,1423.1,1038.5,1735.81
1,http-192.168.178.178-2020-subjects-lvl1-vanilla-es6,1392.5,1254.2,1373.2,1181.1,1024.6,1118.5,1002.7,1186.2,1163.4,1117.5,1258.7,1547.3,1329.7,1291,1410.6,1141.6,1195.8,1238.2,1332.3,1064.3,1231.17
1,http-192.168.178.178-2020-subjects-lvl1-dojo,997.2,1081,1112.5,912.6,1531.7,1021.6,1133.6,1127.5,1053.8,992.1,940.8,1445.4,892.8,1081.8,1328.2,1045.4,944.3,1065.2,967.7,1034.3,1554.505
1,http-192.168.178.178-2020-lacunaWebPages-stackexchange.com-stackexchange.com-1,1434.9,1560.8,1606,1553.5,1676.4,1810.7,1333.3,1298,1728.7,1600.3,1656.5,1455.4,1315.1,2180.4,1255.8,1580.3,2221.3,1957.9,1660.4,1322.2,1610.395
1,http-192.168.178.178-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-1-international.htm,2188.5,1847.2,1552.4,1492.3,1344.3,1000.3,2667.5,1712.6,1000.4,1220,1656.5,806.7,1388.2,1629.6,1285.4,2978.1,1423.1,1625.5,1503.6,1503.6,1591.29
1,http-192.168.178.178-2020-lacunaWebPages-www.amazon.in-www.amazon.in-1,2099,1093,1330.3,1438.7,1434.3,1386.4,3395.7,1231.4,1667.3,1400,1400,1298.6,1314.8,880.9,1934,1350.6,1402.8,1333.5,1377.9,1127.2,1494.82
1,http-192.168.178.178-2020-subjects-lvl1-enyo_backbone,1203.6,1009.8,1023,1132.8,912,1105.8,927.5,925,1297.4,1080,1117.5,1029.1,3640.1,1174.8,2673.4,1226.9,1195.8,1325.1,1048.5,1159.6,1310.385
1,http-192.168.178.178-2020-subjects-lvl1-gwt,2232.1,1404.8,1309.4,1087,1365.9,1270.8,1606,1365.2,1259.5,1210.6,1099.9,1363.4,1232.6,1247.4,2301.2,1217.9,1334.1,3493.7,1800.7,1327.5,1526.485
1,http-192.168.178.178-2020-lacunaWebPages-www.paypal.com-www.paypal.com-nl-1-home.htm,1446.9,1296.5,1316.3,1419.2,1306.3,1519.6,2309.2,1278.1,2037.4,1614.5,1503.4,1455.4,1504.1,2496.8,1419.2,1531.8,1318.1,1114.4,1498.8,1369.7,1537.785
1,http-192.168.178.178-2020-subjects-lvl1-mithril,1234.1,917.6,1110,1011.7,1062.7,1179.2,913.2,1184,1025.1,1008.9,1045.7,1028.3,958,1115.7,1266.6,1006.5,1079.1,1225.9,1007.2,1084.9,1073.22
1,http-192.168.178.178-2020-lacunaWebPages-www.booking.com-www.booking.com-1,1419,1165.1,1313,1213.2,1600.4,1339.6,1882.4,1723.2,1483.1,1385.1,1243.7,1657.5,1455,1833.4,1441.5,1897.6,1319,1846.5,1423.1,1367.5,1500.445
1,http-192.168.178.178-2020-subjects-lvl1-vanillajs,1409.2,1346.1,1237.7,1067.8,2390.7,1364,1360.1,1208.2,1290.4,1120.9,1297.6,1175.6,1096.8,1232,1329.7,1025.4,1438.1,1699.9,1389.9,1239.5,1335.98
1,http-192.168.178.178-2020-subjects-lvl1-jsblocks,1265.6,1239.3,2538.1,1113.3,1092.6,1597.8,1221.4,1243.8,1029.5,1322.6,1161.8,1137.1,2319.2,1218,982.9,1076.1,1329.1,1261.1,1213,1374.1,1336.82
1,http-192.168.178.178-2020-subjects-lvl1-vue,2904.3,1057.8,1055.4,1108.6,1098.9,936.5,1005.8,1106.6,1854.5,947.1,932.8,1219.9,980.9,1328.7,1273.5,944.9,751.3,907.1,1749.7,1160.3,1216.23
1,http-192.168.178.178-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-1,1446.9,1383.7,1468.2,1274.2,1536.1,2265.2,1983.8,1220,1520,1434.2,1391.9,1006.4,1824.1,1545.2,1492,1609,1423.5,1466.9,1957.9,1432,1534.06
1,http-192.168.178.178-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-1,2208.2,2208.2,1744,1446.9,1857.7,1670,1446.1,1146.1,1938.8,1397.8,1606.5,1475.2,1574.1,1464,1515.3,1761,2001.1,2001.1,1701.6,1740.7,1695.22
1,http-192.168.178.178-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-en-US-1,1423.5,1199.1,2121.8,1415.9,1425.6,1577.5,1707.7,1554.3,1257.5,1278.1,1419.4,1628.6,2476.4,1856.3,2199.4,1659.7,1735.7,1660.4,1752.6,1503.6,1642.655
1,http-192.168.178.178-2020-lacunaWebPages-www.amazon.com-www.amazon.com-1,1954.5,1688.5,1114.6,1553.5,4594.4,1381.3,1444.2,1543.5,1810.7,2256.5,4327.2,1865.4,1808.2,1808.2,1220,1600.3,1823.4,2011.1,1423.3,1889.8,1955.93
1,http-192.168.178.178-2020-subjects-lvl1-canjs,1308.7,1247,927.4,863.2,1425.1,1056.2,1085.4,1202.5,1030.4,1137.7,862.8,883.1,966.6,1086,1050.1,1325.1,862.1,1018.2,923.6,1025.9,1064.355
1,http-192.168.178.178-2020-subjects-lvl1-reagent,1015.6,896.9,1018.3,941.1,1430.5,946.3,877.3,1351.7,1537.4,1081.9,1537.8,859.7,1108.3,1079.6,1027.6,935.6,1008.3,1195.8,1463,1082.9,1119.78
1,http-192.168.178.178-2020-subjects-lvl1-exoskeleton,1238.8,1200.9,1274.2,1418,1269.9,1910.1,4339.5,1184.6,1164.9,1165.8,1109.8,1246.9,1163.4,1265,1262.1,1257.1,1266.2,1394.8,1159.6,1088.6,1419.01
1,http-192.168.178.178-2020-subjects-lvl1-dijon,1248.1,1369.5,2180.8,1490.9,1234,1233.7,1570.9,1297.4,1241.8,1200.4,1611.3,1244.7,1113.8,1180.1,1350.5,1022.3,1140,1458.7,1386.4,1287.8,1343.155
1,http-192.168.178.178-2020-subjects-lvl1-canjs_require,1011.3,939.2,1333.8,1009.8,843.3,1112,1365.9,1623.4,1132.8,935.1,7564.8,1513.9,1029,892.8,1053.8,869.4,1076.3,1079.5,1039.7,874.7,1415.025
1,http-192.168.178.178-2020-subjects-lvl1-knockback,1389.9,1248.7,2312.7,1221.5,1232.8,1434.8,1014.9,1323.4,1441.1,1646.2,1775.2,1170.4,1395.4,1363.4,1256.8,1259.1,1487.3,1125.1,1166.6,1993.4,1412.935
