Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
2,http-192.168.178.178-2020-subjects-lvl2-backbone_require,1592137305996,1592202613967,1592215973220,1592223258687,1592278968378,1592292126066,1592298396771,1592301028028,1592305887444,1592473590323,1592538896161,1592546588601,1592637466952,1592721234259,1592725888304,1592733578099,1592740258559,1592802261784,1592817847292,1592976127247,1592498464806.9
2,http-192.168.178.178-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-2-international.htm,1590917271868,1590917676105,1590923141195,1590990459581,1591074017560,1591090611713,1591097897270,1591165237546,1591333643067,1591341332058,1591418374683,1591419589099,1591524922819,1591604583941,1591621004094,1591772196661,1591780490405,1591787980780,1591849022100,1591850035808,1591373974417.65
2,http-192.168.178.178-2020-subjects-lvl2-jsblocks,1592119094199,1592127185034,1592199375629,1592216792497,1592285041895,1592285852613,1592369644537,1592382595724,1592461041037,1592547397674,1592556908373,1592568848231,1592713952107,1592720224424,1592807118145,1592807927275,1592818049880,1592821089153,1592821291783,1592823517875,1592522647404.25
2,http-192.168.178.178-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-2,1590894605063,1590916664734,1590985999572,1590994506190,1590994911240,1591006244953,1591066521906,1591165439668,1591181631032,1591246322055,1591248547771,1591427480439,1591436996715,1591516826209,1591520067013,1591526745938,1591595261986,1591940231995,1591944276413,1591952170107,1591328072549.95
2,http-192.168.178.178-2020-lacunaWebPages-stackexchange.com-stackexchange.com-2,1590903304238,1590907962550,1590910592234,1590986809379,1590996933923,1591000375254,1591069359944,1591082921882,1591085552275,1591333845397,1591340319898,1591427885654,1591434770448,1591503469965,1591611677794,1591616745896,1591695292784,1591696911888,1591697720959,1591955612813,1591312903258.75
2,http-192.168.178.178-2020-subjects-lvl2-knockback,1592127387238,1592203423510,1592217391335,1592295766712,1592369038475,1592385225637,1592392923927,1592398189373,1592459220632,1592474399660,1592547599671,1592566420976,1592634634197,1592656287435,1592729329456,1592737830326,1592801245368,1592811772780,1592824125414,1592973901419,1592530305677.05
2,http-192.168.178.178-2020-lacunaWebPages-www.amazon.in-www.amazon.in-2,1590912008142,1591008066549,1591080085132,1591089194970,1591160987101,1591179404611,1591354901320,1591420195985,1591440240180,1591441453408,1591505494621,1591522696452,1591525733291,1591607216053,1591612488868,1591622219724,1591686796499,1591698734133,1591769970881,1591784135253,1591421101158.65
2,http-192.168.178.178-2020-subjects-lvl2-dijon,1592120105517,1592128399017,1592133258533,1592199982208,1592285650118,1592287269866,1592290507565,1592371263089,1592397177234,1592454362072,1592463672374,1592478651067,1592552455765,1592639084942,1592649406989,1592713141302,1592717595743,1592718808683,1592735604352,1592803880654,1592457013854.5
2,http-192.168.178.178-2020-lacunaWebPages-www.booking.com-www.booking.com-2,1590899459950,1591004827379,1591071587039,1591073004395,1591081097733,1591096279056,1591097290344,1591258467871,1591340522507,1591432138205,1591440037588,1591507922538,1591514397620,1591614720568,1591688819052,1591694887985,1591770577621,1591788993017,1591950349133,1591951361246,1591413837042.35
2,http-192.168.178.178-2020-subjects-lvl2-vue,1592122330928,1592195330639,1592200589494,1592201804146,1592202006453,1592210708906,1592212327804,1592285244976,1592301231357,1592372072942,1592394746257,1592455779922,1592461243499,1592559133639,1592559335899,1592628765525,1592644550678,1592723055395,1592736413427,1592987049719,1592422686080.25
2,http-192.168.178.178-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-2,1590982755229,1590995719877,1591097492822,1591162808725,1591166248609,1591166450719,1591169084051,1591247536294,1591255024617,1591344774803,1591344774579,1591355306140,1591523506245,1591589585950,1591613096220,1591679716888,1591680526113,1591697924006,1591705010494,1591946906270,1591386212432.55
2,http-192.168.178.178-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-2,1590908569194,1590911603289,1590914641197,1590983364907,1590992078268,1590993292034,1590995315238,1591093244379,1591171511475,1591264541636,1591270819576,1591350648720,1591355508757,1591523910248,1591607823375,1591611069534,1591705618133,1591938610228,1591941849155,1591951765695,1591324289251.9
2,http-192.168.178.178-2020-subjects-lvl2-dojo,1592112822361,1592116463448,1592131235277,1592192086884,1592204030448,1592310744682,1592367011742,1592375715055,1592380572559,1592384214612,1592387859336,1592469338493,1592543351214,1592544160399,1592562373002,1592638882711,1592713344349,1592725686074,1592738841781,1592820276974,1592435950570.05
2,http-192.168.178.178-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-en-US-2,1590898246213,1590907355345,1591009886624,1591073815083,1591075230982,1591077253192,1591173534490,1591174748119,1591352877293,1591428290010,1591432340511,1591433151217,1591511564772,1591512171479,1591512576311,1591596885517,1591601950574,1591608228121,1591761267756,1591762077291,1591345172545.0
2,http-192.168.178.178-2020-subjects-lvl2-gwt,1592113630664,1592199780019,1592203828222,1592283829894,1592297588556,1592372882704,1592461445775,1592471969544,1592550431738,1592556098306,1592556300738,1592568241198,1592630181408,1592632407597,1592651228153,1592800838071,1592804286675,1592827565855,1592829592302,1592988870744,1592540049908.15
2,http-192.168.178.178-2020-subjects-lvl2-mithril,1592126983091,1592291518954,1592294553673,1592370655843,1592372275095,1592376120026,1592456589438,1592469945620,1592471766851,1592542946726,1592628158314,1592643132649,1592650216624,1592726292991,1592808534610,1592818455432,1592821898678,1592826350629,1592978351559,1592980779126,1592582776296.45
2,http-192.168.178.178-2020-subjects-lvl2-polymer,1592115249856,1592134067732,1592203221328,1592220629312,1592298195233,1592388872115,1592391100630,1592456184350,1592456387122,1592462661140,1592480675884,1592537675564,1592546790820,1592550027312,1592627145677,1592631800033,1592634229394,1592712122933,1592724674682,1592819467170,1592469558914.35
2,http-192.168.178.178-2020-subjects-lvl2-vanillajs,1592119903289,1592195532989,1592209089720,1592211721136,1592289292888,1592395151285,1592462458399,1592541327516,1592543149203,1592547195476,1592558323680,1592561967996,1592563385538,1592625113960,1592652037586,1592716381559,1592729127087,1592732566096,1592802464292,1592998380420,1592522728505.75
2,http-192.168.178.178-2020-lacunaWebPages-www.bbc.com-www.bbc.com-2,1590814330586,1590922736985,1590990662116,1591010291208,1591070778077,1591094052881,1591166652866,1591257860309,1591258265289,1591344977894,1591352472323,1591427075620,1591505696784,1591532414134,1591601544900,1591680121426,1591698328850,1591777253998,1591780085882,1591851254755,1591356842844.15
2,http-192.168.178.178-2020-subjects-lvl2-vanilla-es6,1592114440103,1592120510031,1592131437941,1592198162093,1592284436592,1592295160280,1592307506111,1592373691481,1592389681543,1592396366187,1592458208215,1592469136187,1592545172313,1592630788874,1592640705008,1592721033010,1592731150607,1592986847774,1592991298909,1592986849890,1592488629157.45
2,http-192.168.178.178-2020-subjects-lvl2-enyo_backbone,1592122128483,1592138114914,1592138317210,1592368025528,1592387454438,1592388264935,1592397581884,1592453551158,1592458613064,1592557110735,1592558121770,1592626740748,1592647989905,1592648394835,1592649002058,1592817443156,1592817645111,1592828782095,1592982800813,1592990286699,1592548818476.95
2,http-192.168.178.178-2020-subjects-lvl2-canjs,1592113833215,1592197555336,1592205042187,1592214960684,1592284638735,1592392315860,1592477031240,1592479258751,1592545779424,1592549420508,1592564397427,1592567229910,1592656085186,1592718606533,1592722853224,1592806915914,1592809141426,1592815417766,1592821696232,1592831213756,1592538669665.7
2,http-192.168.178.178-2020-lacunaWebPages-www.paypal.com-www.paypal.com-nl-2-home.htm,1590815545168,1590990864600,1591007662015,1591069562790,1591085147769,1591086360969,1591259480204,1591265553753,1591266769634,1591267784424,1591339915031,1591520471348,1591525935730,1591593035305,1591596072116,1591616543767,1591619585196,1591767745803,1591850848845,1591851051456,1591369796796.15
2,http-192.168.178.178-2020-subjects-lvl2-jquery,1592116665750,1592132853936,1592207673142,1592207875077,1592370049471,1592376929174,1592388467315,1592389883938,1592462863265,1592466505588,1592565206852,1592641513555,1592648596953,1592728116053,1592728520271,1592808736891,1592810154222,1592813798321,1592826957877,1592981991541,1592533667959.6
2,http-192.168.178.178-2020-subjects-lvl2-reagent,1592115654163,1592127791766,1592193506969,1592286257389,1592290305322,1592294756064,1592305280674,1592369240609,1592384821343,1592452537878,1592470553591,1592539099098,1592552658261,1592642120436,1592714965031,1592738234682,1592824934246,1592831618742,1592974306921,1592986037187,1592504734018.6
2,http-192.168.178.178-2020-subjects-lvl2-canjs_require,1592110395137,1592110597409,1592113226325,1592116058616,1592119498605,1592120307834,1592216378426,1592284234445,1592307911510,1592391911202,1592397379615,1592457803095,1592547802051,1592553063664,1592626335265,1592645561581,1592650419048,1592715774500,1592723257967,1592726697428,1592396730686.15
2,http-192.168.178.178-2020-subjects-lvl2-exoskeleton,1592883185797,1592883390656,1592884000746,1592887650286,1592888055037,1592892101143,1592893516773,1592894731445,1592894933669,1592894933669,1592899181576,1592899384475,1592901407395,1592902622201,1592903835786,1592905049828,1592906264397,1592975924418,1592976733880,1592975926310,1592907141474.35
2,http-192.168.178.178-2020-subjects-lvl2-angularjs_require,1590893187010,1590984177632,1591007257519,1591009077619,1591089397342,1591163415867,1591181024270,1591256037556,1591338295783,1591344370443,1591350446282,1591434163503,1591507720206,1591528567400,1591534641387,1591594047037,1591599922529,1591603368052,1591618166399,1591764103550,1591340069369.3
2,http-192.168.178.178-2020-lacunaWebPages-www.amazon.com-www.amazon.com-2,1590815747516,1590897639294,1590904518027,1590915247898,1590986404398,1591009684383,1591069158285,1591173939154,1591176570159,1591338093387,1591421611361,1591441857649,1591508529593,1591509743913,1591521684926,1591534236566,1591609445516,1591680728156,1591681739643,1591685785440,1591294118263.2
