Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
3,http-192.168.178.178-2020-subjects-lvl3-backbone_require,2621,1142,938,800,883,861,1148,1046,878,1561,1607,879,919,905,1404,1950,701,1078,1222,519,1153.1
3,http-192.168.178.178-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-3,1422,1255,1466,1041,1319,1459,1073,1298,1086,1422,1078,1428,1390,1181,1159,1411,1176,1924,1326,1365,1313.95
3,http-192.168.178.178-2020-subjects-lvl3-reagent,906,1042,1277,1159,1131,974,2855,1770,1110,1232,1149,950,1099,1472,846,1312,1065,3021,1192,1801,1368.15
3,http-192.168.178.178-2020-subjects-lvl3-polymer,797,1092,1013,1130,714,1189,837,1044,961,1519,705,952,781,794,761,1064,1303,858,940,1224,983.9
3,http-192.168.178.178-2020-lacunaWebPages-stackexchange.com-stackexchange.com-3,990,1190,1494,1536,1155,1091,850,1002,1254,2132,1291,1153,1733,1480,2040,1688,1303,1344,1498,1510,1386.7
3,http-192.168.178.178-2020-subjects-lvl3-exoskeleton,1091,991,845,1110,1388,1314,1095,919,1042,1051,771,1049,1292,1068,1099,782,921,1135,1085,877,1046.25
3,http-192.168.178.178-2020-subjects-lvl3-gwt,1015,1241,952,974,1437,1080,1082,801,1743,914,1105,1221,926,942,1040,640,1187,818,859,1325,1065.1
3,http-192.168.178.178-2020-subjects-lvl3-enyo_backbone,1372,1366,1289,1671,1399,1651,1345,1463,1231,1791,1414,1403,2483,1511,1602,1393,1301,1490,1273,1310,1487.9
3,http-192.168.178.178-2020-subjects-lvl3-vanilla-es6,1041,872,1056,871,744,926,1350,700,850,763,879,853,890,1308,742,918,891,844,857,1015,918.5
3,http-192.168.178.178-2020-subjects-lvl3-dojo,1855,817,812,784,848,1024,1007,854,973,752,1103,802,1452,791,990,749,700,949,723,929,945.7
3,http-192.168.178.178-2020-subjects-lvl3-vue,1075,985,942,647,1062,858,1095,911,2395,1044,931,814,809,1032,1332,1644,963,1204,1189,1134,1103.3
3,http-192.168.178.178-2020-lacunaWebPages-www.booking.com-www.booking.com-3,1322,1357,1359,1653,1564,1337,1277,1352,1413,1326,2738,1392,1356,1271,1410,1322,1419,1333,1394,1366,1448.05
3,http-192.168.178.178-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-3-international.htm,1689,1571,2311,1766,1433,2267,2803,1892,1789,2289,2478,2460,1586,2271,2215,2614,3332,2421,1563,1746,2124.8
3,http-192.168.178.178-2020-subjects-lvl3-backbone,1157,1008,1063,1294,1265,1073,1233,1194,917,820,1863,839,1340,962,1228,1012,733,894,1075,1132,1105.1
3,http-192.168.178.178-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-3,1572,1613,1123,1289,1123,1259,901,1967,1122,1252,1245,1199,904,1175,1269,1255,839,852,1780,1698,1271.85
3,http-192.168.178.178-2020-subjects-lvl3-mithril,797,822,1080,1075,733,973,822,1228,1333,1198,983,1027,1098,756,855,1046,1020,781,1143,827,979.85
3,http-192.168.178.178-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-3,2387,1301,1457,1439,2056,2325,1314,2250,2108,1645,1420,2435,2433,1484,1555,1693,1314,2264,1407,2059,1817.3
3,http-192.168.178.178-2020-subjects-lvl3-canjs,969,821,881,1294,1061,1567,991,861,1018,1171,1107,1478,955,1257,1547,1697,1547,1111,1057,1451,1192.05
3,http-192.168.178.178-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-en-US-3,1032,1003,1008,1176,1472,1118,1381,1243,1017,1348,1029,1379,1430,1357,1414,1349,954,1049,967,1479,1210.25
3,http-192.168.178.178-2020-lacunaWebPages-www.amazon.com-www.amazon.com-3,1378,1262,1370,1391,1549,1373,1465,1362,1313,1391,1245,1876,1349,1335,1396,1402,1468,1355,1390,1342,1400.6
3,http-192.168.178.178-2020-subjects-lvl3-knockback,919,1417,874,1373,1053,1131,1505,1767,981,1563,1156,1429,905,1381,879,3064,2449,951,995,717,1325.45
3,http-192.168.178.178-2020-subjects-lvl3-jquery,2115,1029,925,877,1108,1205,1081,1082,1109,1178,1077,864,1027,1023,861,1520,1135,910,1009,1610,1137.25
3,http-192.168.178.178-2020-subjects-lvl3-canjs_require,2184,804,794,813,782,1271,1281,902,963,967,660,953,875,792,969,972,905,1132,735,847,980.05
3,http-192.168.178.178-2020-lacunaWebPages-www.office.com-www.office.com-3,1557,3281,1191,725,1222,994,1116,1167,1722,1145,1202,972,1499,1037,1008,1264,1107,1127,1176,1096,1280.4
3,http-192.168.178.178-2020-subjects-lvl3-jsblocks,832,918,741,1477,990,1077,1266,1072,1675,962,1415,1273,1116,1369,1002,1145,1391,1444,672,1287,1156.2
3,http-192.168.178.178-2020-subjects-lvl3-dijon,1167,1220,1504,914,2064,1098,1107,2251,1041,1247,1139,3114,2004,1880,1961,1260,958,1020,1385,1122,1472.8
3,http-192.168.178.178-2020-lacunaWebPages-www.amazon.in-www.amazon.in-3,1735,1560,1600,1633,1582,1725,1482,1422,1887,1547,1730,1529,1561,1540,1680,1722,1639,1617,1738,1600,1626.45
3,http-192.168.178.178-2020-subjects-lvl3-angularjs_require,1077,885,672,1106,991,821,534,827,716,862,781,945,629,1041,790,822,929,716,920,707,838.55
3,http-192.168.178.178-2020-lacunaWebPages-www.bbc.com-www.bbc.com-3,2770,2820,2844,2681,2576,2544,2701,2690,2475,2615,2470,2827,2819,2669,2601,2511,2666,3212,2690,2902,2704.15
3,http-192.168.178.178-2020-subjects-lvl3-vanillajs,1481,1359,1136,1145,637,805,757,1079,1226,1223,1092,984,1231,929,1048,1038,981,736,841,810,1026.9
3,http-192.168.178.178-2020-lacunaWebPages-apache.org-apache.org-3,1062,1082,1063,1197,1822,1190,1239,1981,952,1054,1051,1684,1269,1278,1258,1175,782,912,1092,1346,1224.45
3,http-192.168.178.178-2020-lacunaWebPages-aws.amazon.com-aws.amazon.com-3,1585,1416,1643,1619,1631,1703,1944,1697,1456,2878,1813,1571,1599,1591,2418,2377,1805,1549,1475,1575,1767.25
3,http-192.168.178.178-2020-lacunaWebPages-m.youtube.com-m.youtube.com-3,1538,780,1032,2169,1057,870,1104,911,817,769,896,710,1277,1325,785,838,811,774,1225,704,1019.6
3,http-192.168.178.178-2020-lacunaWebPages-www.paypal.com-www.paypal.com-nl-3-home.htm,864,851,758,1227,1131,1074,1059,922,2063,1001,1243,882,1361,1064,2409,1160,877,1174,1248,1157,1176.25
3,http-192.168.178.178-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-3,1479,990,1115,1099,1156,1355,1505,677,1243,1079,1384,1112,1110,1022,1210,1564,1299,1624,1260,1471,1237.7
3,http-192.168.178.178-2020-subjects-lvl3-knockoutjs_require,1041,1142,818,672,931,948,565,824,1583,1859,907,1159,850,1808,752,832,849,1069,847,1207,1033.15
