Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
0,http-192.168.178.178-2020-subjects-lvl0-backbone_require,18,5,22,18,23,18,21,23,19,21,5,5,21,21,22,22,21,21,22,19,18.35
0,http-192.168.178.178-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-0,35,40,35,34,24,37,35,36,38,30,35,25,39,37,36,37,29,30,36,32,34.0
0,http-192.168.178.178-2020-subjects-lvl0-mithril,15,18,15,15,15,15,15,15,15,15,15,15,15,15,18,10,15,15,15,15,15.05
0,http-192.168.178.178-2020-subjects-lvl0-vue,13,13,13,15,13,13,13,13,13,13,13,13,16,13,11,13,13,13,13,13,13.15
0,http-192.168.178.178-2020-subjects-lvl0-canjs,14,14,14,14,14,17,14,9,14,14,14,14,14,14,14,14,14,17,14,14,14.05
0,http-192.168.178.178-2020-subjects-lvl0-vanillajs,15,15,15,10,15,15,15,15,15,15,15,15,15,15,15,18,15,15,15,15,14.9
0,http-192.168.178.178-2020-subjects-lvl0-knockback,18,18,21,17,18,21,13,17,18,18,18,18,17,18,18,17,13,18,18,18,17.6
0,http-192.168.178.178-2020-lacunaWebPages-www.booking.com-www.booking.com-0,47,47,47,47,31,31,47,47,31,33,47,33,33,33,47,60,42,47,33,47,41.5
0,http-192.168.178.178-2020-subjects-lvl0-gwt,5,11,11,11,11,11,11,11,11,14,11,11,11,11,11,11,11,11,11,11,10.85
0,http-192.168.178.178-2020-subjects-lvl0-jquery,13,13,15,13,13,13,13,8,13,13,13,13,13,13,16,13,13,13,13,13,13.0
0,http-192.168.178.178-2020-subjects-lvl0-jsblocks,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10.0
0,http-192.168.178.178-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-0,10,10,10,10,10,10,10,10,10,10,10,12,10,10,10,10,10,10,10,10,10.1
0,http-192.168.178.178-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-0-international.htm,5,6,6,4,6,6,6,6,6,6,2,6,6,5,6,6,5,6,6,6,5.55
0,http-192.168.178.178-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-0,17,21,21,21,21,21,21,21,21,17,21,21,21,21,21,21,21,21,20,21,20.55
0,http-192.168.178.178-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-en-US-0,7,7,7,7,7,7,7,5,7,7,5,7,7,7,7,7,7,7,7,7,6.8
0,http-192.168.178.178-2020-lacunaWebPages-www.amazon.com-www.amazon.com-0,63,63,63,68,63,63,63,63,57,63,63,60,63,57,63,63,63,63,63,63,62.5
0,http-192.168.178.178-2020-lacunaWebPages-www.wikipedia.org-www.wikipedia.org-0,11,9,12,15,12,8,11,11,8,12,11,12,9,12,11,11,12,11,11,11,11.0
0,http-192.168.178.178-2020-subjects-lvl0-canjs_require,41,41,42,42,42,42,42,42,42,42,42,42,42,42,5,42,42,42,42,42,40.05
0,http-192.168.178.178-2020-lacunaWebPages-www.paypal.com-www.paypal.com-nl-0-home.htm,14,14,14,14,14,14,12,14,14,14,14,13,14,14,14,14,14,14,14,14,13.85
0,http-192.168.178.178-2020-lacunaWebPages-stackexchange.com-stackexchange.com-0,16,16,16,16,16,11,16,16,11,16,16,16,16,16,11,16,16,16,20,16,15.45
0,http-192.168.178.178-2020-subjects-lvl0-polymer,14,13,11,11,11,11,11,12,11,11,11,10,11,14,11,11,11,11,11,11,11.4
0,http-192.168.178.178-2020-subjects-lvl0-dojo,19,19,5,19,19,19,22,19,19,19,22,19,19,19,19,19,19,19,19,19,18.6
0,http-192.168.178.178-2020-subjects-lvl0-enyo_backbone,36,37,34,34,34,34,34,34,34,37,37,34,34,34,34,5,34,5,34,34,31.65
0,http-192.168.178.178-2020-subjects-lvl0-exoskeleton,18,18,18,18,18,18,18,18,18,18,18,18,21,18,18,18,18,18,18,16,18.05
0,http-192.168.178.178-2020-lacunaWebPages-www.amazon.in-www.amazon.in-0,91,98,98,91,94,94,94,94,94,91,94,94,94,94,94,94,90,94,97,94,93.9
0,http-192.168.178.178-2020-subjects-lvl0-angularjs_require,11,11,11,11,13,15,11,15,15,11,11,15,11,15,15,11,15,11,11,15,12.7
0,http-192.168.178.178-2020-subjects-lvl0-backbone,17,17,17,17,17,17,17,17,17,17,17,12,17,17,17,17,17,17,12,17,16.5
0,http-192.168.178.178-2020-subjects-lvl0-vanilla-es6,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9.0
0,http-192.168.178.178-2020-lacunaWebPages-www.bbc.com-www.bbc.com-0,64,64,64,64,64,64,64,64,64,60,64,64,64,64,64,60,64,64,64,60,63.4
0,http-192.168.178.178-2020-lacunaWebPages-apache.org-apache.org-0,38,38,39,23,48,39,38,37,38,39,38,38,39,39,38,38,36,37,22,38,37.0
0,http-192.168.178.178-2020-subjects-lvl0-dijon,19,19,19,19,18,19,19,19,19,19,19,19,19,19,19,14,19,19,19,19,18.7
0,http-192.168.178.178-2020-lacunaWebPages-aws.amazon.com-aws.amazon.com-0,12,12,12,12,7,12,12,12,12,7,12,12,12,12,12,12,12,12,12,11,11.45
0,http-192.168.178.178-2020-lacunaWebPages-m.youtube.com-m.youtube.com-0,16,16,11,17,16,16,16,16,16,16,16,16,16,16,14,16,13,9,17,16,15.25
0,http-192.168.178.178-2020-lacunaWebPages-www.office.com-www.office.com-0,11,11,7,11,7,11,11,11,11,11,7,11,11,8,11,11,11,11,11,11,10.25
0,http-192.168.178.178-2020-subjects-lvl0-reagent,8,9,9,12,8,12,9,9,9,9,9,12,9,9,8,9,9,9,9,8,9.25
0,http-192.168.178.178-2020-subjects-lvl0-knockoutjs_require,15,19,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15.2
