Optimization Levels,Website,Run 1,Run 2,Run 3,Run 4,Run 5,Run 6,Run 7,Run 8,Run 9,Run 10,Run 11,Run 12,Run 13,Run 14,Run 15,Run 16,Run 17,Run 18,Run 19,Run 20,Average
1,http-192.168.178.178-2020-subjects-lvl1-backbone_require,483544,483544,483544,483318,483544,483544,483544,483544,483318,483544,8865,483544,483544,483544,483544,483544,483544,483544,483544,483544,459787.45
1,http-192.168.178.178-2020-lacunaWebPages-www.buzzfeed.com-www.buzzfeed.com-1,723691,724369,724369,724369,724369,723691,724369,724369,724369,724369,724369,724369,724369,724369,724369,724369,724369,724369,724369,724369,724301.2
1,http-192.168.178.178-2020-subjects-lvl1-vanilla-es6,40443,40443,40443,40443,40443,40443,40443,40443,40443,40443,40443,40443,14314,40443,40443,40443,40443,40443,40443,40443,39136.55
1,http-192.168.178.178-2020-subjects-lvl1-dojo,203088,203088,203088,203088,203088,203088,203088,203088,203088,203088,203088,12997,203088,12997,203088,203088,203088,203088,203088,203088,184078.9
1,http-192.168.178.178-2020-lacunaWebPages-stackexchange.com-stackexchange.com-1,235352,235352,235352,235352,235352,235352,235352,235352,235352,235352,235352,235352,235352,235352,235352,235352,235352,235352,213513,235352,234260.05
1,http-192.168.178.178-2020-lacunaWebPages-www.theguardian.com-www.theguardian.com-1-international.htm,1077912,1239316,1239316,1239316,1239316,1239316,1239316,1239316,1239316,1239316,1239316,1239316,1239316,1239316,1239316,1239316,166048,1077912,1239316,1239316,1169512.2
1,http-192.168.178.178-2020-lacunaWebPages-www.amazon.in-www.amazon.in-1,274192,235045,278071,278071,278071,278071,278071,278071,278071,278071,278071,278071,278071,278071,278071,278071,278071,278071,278071,278071,275725.75
1,http-192.168.178.178-2020-subjects-lvl1-enyo_backbone,487903,487903,487903,8695,487903,487903,487903,487903,487903,487903,487903,487903,487903,487903,487903,487903,487903,487903,487903,487903,463942.6
1,http-192.168.178.178-2020-subjects-lvl1-gwt,133519,133519,133519,133519,133519,133519,133519,133519,133519,133519,8302,133519,133519,133519,133519,133519,133519,133519,133519,133519,127258.15
1,http-192.168.178.178-2020-lacunaWebPages-www.paypal.com-www.paypal.com-nl-1-home.htm,355489,355489,355489,355489,355489,355489,357068,355489,355489,355489,355489,355489,355489,355489,317198,355489,355489,278951,355489,355489,349826.5
1,http-192.168.178.178-2020-subjects-lvl1-mithril,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212,61212.0
1,http-192.168.178.178-2020-lacunaWebPages-www.booking.com-www.booking.com-1,844154,836353,842267,844154,844154,844154,844154,844154,844154,844154,844154,844154,844154,844154,836399,844154,844154,844154,844154,844154,843281.85
1,http-192.168.178.178-2020-subjects-lvl1-vanillajs,43535,43535,43535,43535,43535,43535,43535,43535,43535,43535,43535,43535,28883,43535,43535,28883,43535,28883,43535,43535,41337.2
1,http-192.168.178.178-2020-subjects-lvl1-jsblocks,399099,399099,399099,399099,399099,399099,399099,399099,395259,399099,399099,399099,399099,399099,399099,399099,399099,399099,399099,399099,398907.0
1,http-192.168.178.178-2020-subjects-lvl1-vue,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725,208725.0
1,http-192.168.178.178-2020-lacunaWebPages-stackoverflow.com-stackoverflow.com-1,225497,226046,226046,188816,226046,226046,226046,226046,226046,226046,230920,226046,226046,226046,226046,226046,226046,226046,226046,226046,224400.75
1,http-192.168.178.178-2020-lacunaWebPages-nl.godaddy.com-nl.godaddy.com-1,360726,360726,360726,360726,360726,360726,358927,360726,360726,360726,360726,360726,360726,360726,359135,360726,359135,359135,360726,360726,360397.4
1,http-192.168.178.178-2020-lacunaWebPages-www.mozilla.org-www.mozilla.org-en-US-1,295519,295519,295519,295519,295519,295519,295519,295519,295519,295519,295519,295519,295519,295519,295519,295519,295519,295519,288714,295519,295178.75
1,http-192.168.178.178-2020-lacunaWebPages-www.amazon.com-www.amazon.com-1,349818,349818,349818,349818,349818,415232,349818,349818,349818,349818,349818,349818,349818,349818,349818,349818,349818,349818,349818,349818,353088.7
1,http-192.168.178.178-2020-subjects-lvl1-canjs,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297,437297.0
1,http-192.168.178.178-2020-subjects-lvl1-reagent,2591976,2591976,2591976,2591976,2591976,2591976,2591976,2591976,2591976,8391,2591976,2591976,2591976,2591976,2591976,2591976,2591976,8391,2591976,2591976,2333617.5
1,http-192.168.178.178-2020-subjects-lvl1-exoskeleton,99647,99647,99647,99647,99647,99647,99647,34116,99647,99647,99647,99647,99647,99647,99647,99647,99647,99647,99647,99647,96370.45
1,http-192.168.178.178-2020-subjects-lvl1-dijon,271096,40795,271096,271096,271096,271096,271096,271096,271096,271096,271096,271096,271096,271096,271096,271096,271096,271096,271096,271096,259580.95
1,http-192.168.178.178-2020-subjects-lvl1-canjs_require,754193,754193,754193,754193,698424,754193,754193,754193,754193,754193,754193,754193,754193,10089,754193,754193,754193,754193,754193,754193,714199.35
1,http-192.168.178.178-2020-subjects-lvl1-knockback,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609,511609.0
1,http-192.168.178.178-2020-subjects-lvl1-polymer,205804,12176,205804,205804,205804,205804,205804,205804,205804,205804,205804,205804,205804,205804,205804,205804,12176,205804,205804,205804,186441.2
1,http-192.168.178.178-2020-subjects-lvl1-angularjs_require,1047549,20319,1047549,10529,1047549,1047549,1047549,10529,1047549,1047549,1047549,1047549,1047549,1047549,1047549,1047549,1047549,1047549,1047549,1047549,892485.5
1,http-192.168.178.178-2020-subjects-lvl1-backbone,274345,173873,274345,274345,274345,274345,274345,274345,274345,274345,274345,274345,274345,274345,274345,274345,274345,274345,274345,34759,257342.1
1,http-192.168.178.178-2020-subjects-lvl1-jquery,272945,125964,125964,272945,272945,272945,272945,272945,272945,272945,272945,125964,272945,272945,272945,272945,272945,272945,272945,272945,250897.85
