device,subject,browser,batterystats_Joule_calculated,batterystats_Memory_KByte_calculated,batterystats_CPU_Percentage_Usage
j7duo,http-localhost-2020-lacunawebpages-www-bbc-com-www-bbc-com-2,chrome,130.6853604,15103120.55,18.4
j7duo,http-localhost-2020-lacunawebpages-nl-godaddy-com-nl-godaddy-com-1,chrome,122.3800902,15290699.15,26.15
j7duo,http-localhost-2020-lacunawebpages-www-buzzfeed-com-www-buzzfeed-com-2,chrome,106.7303592,12804720.2,10.92
j7duo,http-localhost-2020-subjects-lvl1-angularjs_require,chrome,63.482589,14842660.9,10.9
j7duo,http-localhost-2020-lacunawebpages-m-youtube-com-m-youtube-com-0,chrome,69.3714006,12765147.85,9.93
j7duo,http-localhost-2020-lacunawebpages-nl-godaddy-com-nl-godaddy-com-2,chrome,125.55009,11735194.75,25.9
j7duo,http-localhost-2020-lacunawebpages-nl-godaddy-com-nl-godaddy-com-0,chrome,123.4453608,14137146.0,26.65
j7duo,http-localhost-2020-lacunawebpages-www-amazon-com-www-amazon-com-3,chrome,147.38575500000002,12882492.85,13.2
j7duo,http-localhost-2020-lacunawebpages-www-bbc-com-www-bbc-com-0,chrome,131.0117454,12702958.5,19.9
j7duo,http-localhost-2020-lacunawebpages-aws-amazon-com-aws-amazon-com-3,chrome,105.53277419999999,13450002.7,10.92
j7duo,http-localhost-2020-lacunawebpages-www-booking-com-www-booking-com-0,chrome,86.7626766,11233028.6,11.2
j7duo,http-localhost-2020-lacunawebpages-m-youtube-com-m-youtube-com-1,chrome,67.51326420000001,11109265.15,10.425
j7duo,http-localhost-2020-lacunawebpages-www-buzzfeed-com-www-buzzfeed-com-1,chrome,103.36018320000001,11775885.7,10.965
j7duo,http-localhost-2020-subjects-lvl3-angularjs_require,chrome,61.84732499999999,14810281.05,10.584999999999999
j7duo,http-localhost-2020-lacunawebpages-www-mozilla-org-www-mozilla-org-en-us-1,chrome,86.35278600000001,14693697.8,11.290000000000001
j7duo,http-localhost-2020-lacunawebpages-stackexchange-com-stackexchange-com-1,chrome,83.0836224,12818156.45,11.05
j7duo,http-localhost-2020-lacunawebpages-www-office-com-www-office-com-2,chrome,77.2336638,14455456.6,13.6
j7duo,http-localhost-2020-lacunawebpages-nl-godaddy-com-nl-godaddy-com-3,chrome,82.3307364,12614854.0,12.15
j7duo,http-localhost-2020-lacunawebpages-www-mozilla-org-www-mozilla-org-en-us-0,chrome,92.06817299999999,14287070.9,11.5
j7duo,http-localhost-2020-lacunawebpages-www-wikipedia-org-www-wikipedia-org-2,chrome,65.08665720000002,10493044.55,11.25
j7duo,http-localhost-2020-lacunawebpages-www-office-com-www-office-com-3,chrome,70.57634400000002,15023300.6,9.834999999999999
j7duo,http-localhost-2020-lacunawebpages-stackexchange-com-stackexchange-com-0,chrome,84.81460319999996,18390512.25,10.6
j7duo,http-localhost-2020-lacunawebpages-aws-amazon-com-aws-amazon-com-0,chrome,167.93795160000002,12466080.85,25.2
j7duo,http-localhost-2020-lacunawebpages-www-mozilla-org-www-mozilla-org-en-us-2,chrome,89.293815,8517708.65,11.58
j7duo,http-localhost-2020-subjects-lvl2-backbone,chrome,59.6839446,14883849.6,10.75
j7duo,http-localhost-2020-lacunawebpages-m-youtube-com-m-youtube-com-3,chrome,65.18267639999999,11516891.4,9.98
j7duo,http-localhost-2020-lacunawebpages-www-wikipedia-org-www-wikipedia-org-3,chrome,63.39373020000001,13826569.35,11.35
j7duo,http-localhost-2020-lacunawebpages-aws-amazon-com-aws-amazon-com-1,chrome,164.92277879999997,13599755.9,24.95
j7duo,http-localhost-2020-lacunawebpages-apache-org-apache-org-1,chrome,90.91494359999999,14472764.75,11.4
j7duo,http-localhost-2020-lacunawebpages-www-wikipedia-org-www-wikipedia-org-1,chrome,68.3868546,12498994.95,11.5
j7duo,http-localhost-2020-lacunawebpages-aws-amazon-com-aws-amazon-com-2,chrome,162.3447648,13279366.35,23.05
j7duo,http-localhost-2020-lacunawebpages-stackoverflow-com-stackoverflow-com-0,chrome,75.9343626,15596627.4,10.7
j7duo,http-localhost-2020-lacunawebpages-www-wikipedia-org-www-wikipedia-org-0,chrome,65.08050119999999,13883714.15,11.4
j7duo,http-localhost-2020-subjects-lvl3-backbone,chrome,63.247053599999994,12491354.9,10.8
j7duo,http-localhost-2020-subjects-lvl0-angularjs_require,chrome,63.3491856,13741973.1,11.0
j7duo,http-localhost-2020-lacunawebpages-www-amazon-in-www-amazon-in-0,chrome,88.97376600000001,13868694.2,13.0
j7duo,http-localhost-2020-lacunawebpages-www-paypal-com-www-paypal-com-nl-2-home-html,chrome,75.52092239999999,12590904.85,10.95
j7duo,http-localhost-2020-lacunawebpages-www-amazon-in-www-amazon-in-2,chrome,88.8338538,14593920.7,12.6
j7duo,http-localhost-2020-lacunawebpages-stackexchange-com-stackexchange-com-2,chrome,84.3831288,13616596.1,10.4
j7duo,http-localhost-2020-lacunawebpages-www-mozilla-org-www-mozilla-org-en-us-3,chrome,89.26653959999999,15835876.0,10.85
j7duo,http-localhost-2020-lacunawebpages-www-theguardian-com-www-theguardian-com-2-international-html,chrome,195.28373159999998,15046811.9,23.1
j7duo,http-localhost-2020-lacunawebpages-apache-org-apache-org-2,chrome,92.81677500000002,14539839.9,11.15
j7duo,http-localhost-2020-lacunawebpages-www-amazon-com-www-amazon-com-2,chrome,152.3823282,13271201.9,14.1
j7duo,http-localhost-2020-lacunawebpages-apache-org-apache-org-0,chrome,91.010484,11109531.6,11.2
