Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,15.867,15.867,screen dark,2.7085349808
0,15.867,15.867,wifi running,0.20186251272
0.0,7.878651,7.878651,core 0 cpu_idle start,0.111018071241
7.878651,22.213259,14.334608,core 0 cpu_idle,0.201988961328
22.213259,22.2133,4.10000000102e-05,core 0 cpu_frequency,1.52851116038e-05
22.2133,23.307,1.0937,core 0 cpu_idle,0.0154113267
0.0,7.880508,7.880508,core 1 cpu_idle start,0.111044238228
7.880508,22.213272,14.332764,core 1 cpu_idle,0.201962977524
22.213272,22.213389,0.000117000000046,core 1 cpu_frequency,4.3618489217e-05
22.213389,23.307,1.093611,core 1 cpu_idle,0.015410072601
0.0,7.878627,7.878627,core 2 cpu_idle start,0.111017733057
7.878627,22.213277,14.33465,core 2 cpu_idle,0.20198955315
22.213277,22.213295,1.79999999546e-05,core 2 cpu_frequency,6.71053678306e-06
22.213295,23.307,1.093705,core 2 cpu_idle,0.015411397155
0.0,7.884297,7.884297,core 3 cpu_idle start,0.111097629027
7.884297,22.213282,14.328985,core 3 cpu_idle,0.201909727635
22.213282,22.213342,6.00000000759e-05,core 3 cpu_frequency,2.23684560283e-05
22.213342,23.307,1.093658,core 3 cpu_idle,0.015410734878
0.0,7.91923,7.91923,core 4 cpu_idle start,0.11158986993
7.91923,22.213287,14.294057,core 4 cpu_idle,0.201417557187
22.213287,22.214125,0.000837999999931,core 4 cpu_frequency,0.000312412768774
22.214125,23.307,1.092875,core 4 cpu_idle,0.015399701625
0.0,7.906458,7.906458,core 5 cpu_idle start,0.111409899678
7.906458,22.213292,14.306834,core 5 cpu_idle,0.201597597894
22.213292,22.214447,0.00115500000015,core 5 cpu_frequency,0.000430592778057
22.214447,23.307,1.092553,core 5 cpu_idle,0.015395164323
0.0,7.882754,7.882754,core 6 cpu_idle start,0.111075886614
7.882754,22.212005,14.329251,core 6 cpu_idle,0.201913475841
22.212005,22.212536,0.00053099999991,core 6 cpu_frequency,0.000197960835566
22.212536,23.307,1.094464,core 6 cpu_idle,0.015422092224
0.0,7.882754,7.882754,core 7 cpu_idle start,0.111075886614
7.882754,22.21201,14.329256,core 7 cpu_idle,0.201913546296
22.21201,22.213419,0.00140899999997,core 7 cpu_frequency,0.000525285908388
22.213419,23.307,1.093581,core 7 cpu_idle,0.015409649871
