Start Time (Seconds),End Time (Seconds),Duration (Seconds),Component,Energy Consumption (Joule)
0,15.94,15.94,screen dark,2.915642784
0,15.94,15.94,wifi running,0.2172979056
0.0,7.971826,7.971826,core 0 cpu_idle start,0.120366600774
7.971826,22.525492,14.553666,core 0 cpu_idle,0.219745802934
22.525492,22.525614,0.000121999999465,core 0 cpu_frequency,4.87361205861e-05
22.525614,22.559591,0.033977,core 0 cpu_idle,0.000513018723001
22.559591,22.559653,6.20000000708e-05,core 0 cpu_frequency,2.47675368283e-05
22.559653,22.793987,0.234334,core 0 cpu_idle,0.003538209066
22.793987,22.794066,7.9000000369e-05,core 0 cpu_frequency,3.15586357474e-05
22.794066,23.283,0.488934,core 0 cpu_idle,0.007382414466
0.0,7.974787,7.974787,core 1 cpu_idle start,0.120411308913
7.974787,22.52551,14.550723,core 1 cpu_idle,0.219701366577
22.52551,22.527727,0.0022170000002,core 1 cpu_frequency,0.00088563917888
22.527727,22.559609,0.0318819999993,core 1 cpu_idle,0.00048138631799
22.559609,22.559674,6.5000000177e-05,core 1 cpu_frequency,2.59659660707e-05
22.559674,22.794006,0.234332,core 1 cpu_idle,0.003538178868
22.794006,22.794103,9.70000000962e-05,core 1 cpu_frequency,3.87492108384e-05
22.794103,23.283,0.488897,core 1 cpu_idle,0.007381855803
0.0,7.9739,7.9739,core 2 cpu_idle start,0.1203979161
7.9739,22.525518,14.551618,core 2 cpu_idle,0.219714880182
22.525518,22.525769,0.000251000000389,core 2 cpu_frequency,0.000100268576556
22.525769,22.559615,0.0338459999994,core 2 cpu_idle,0.00051104075399
22.559615,22.559831,0.000216000000364,core 2 cpu_frequency,8.62869025455e-05
22.559831,22.794014,0.234183,core 2 cpu_idle,0.00353592911699
22.794014,22.798668,0.0046540000003,core 2 cpu_frequency,0.00185916316572
22.798668,23.283,0.484332,core 2 cpu_idle,0.007312928868
0.0,7.971815,7.971815,core 3 cpu_idle start,0.120366434685
7.971815,22.525526,14.553711,core 3 cpu_idle,0.219746482389
22.525526,22.526273,0.000747000000047,core 3 cpu_frequency,0.000298408870819
22.526273,22.559621,0.0333479999999,core 3 cpu_idle,0.000503521451999
22.559621,22.560018,0.000396999999793,core 3 cpu_frequency,0.000158592130717
22.560018,22.794021,0.234003,core 3 cpu_idle,0.00353321129701
22.794021,22.795722,0.00170100000014,core 3 cpu_frequency,0.000679509356456
22.795722,23.283,0.487278,core 3 cpu_idle,0.00735741052199
0.0,7.98028,7.98028,core 4 cpu_idle start,0.12049424772
7.98028,22.525534,14.545254,core 4 cpu_idle,0.219618790146
22.525534,22.559626,0.0340919999999,core 4 cpu_frequency,0.0136189494287
22.559626,22.588336,0.0287100000005,core 4 cpu_frequency,0.0114689674442
22.588336,22.794031,0.205695,core 4 cpu_idle,0.00310578880499
22.794031,22.819067,0.025036,core 4 cpu_frequency,0.0100012911504
22.819067,23.283,0.463933,core 4 cpu_idle,0.007004924367
0.0,7.98035,7.98035,core 5 cpu_idle start,0.12049530465
7.98035,22.525542,14.545192,core 5 cpu_idle,0.219617854008
22.525542,22.558892,0.0333499999997,core 5 cpu_frequency,0.0133225379399
22.558892,22.559631,0.000739000000067,core 5 cpu_idle,1.1158161001e-05
22.559631,22.578323,0.0186920000006,core 5 cpu_frequency,0.00746701286902
22.578323,22.794038,0.215714999999,core 5 cpu_idle,0.00325708078499
22.794038,22.798218,0.00417999999991,core 5 cpu_frequency,0.00166981135196
22.798218,23.283,0.484782,core 5 cpu_idle,0.00731972341801
0.0,7.976046,7.976046,core 6 cpu_idle start,0.120430318554
7.976046,23.283,15.306954,core 6 cpu_idle,0.231119698446
0.0,7.977035,7.977035,core 7 cpu_idle start,0.120445251465
7.977035,23.283,15.305965,core 7 cpu_idle,0.231104765535
